role,lat,lng,label,clock_bias,clock_drift,diffCorrAvg,ddsEnabled,griMs,phaseSec
master,54.911389,-3.278333,Anthorn-M,0,0,2.5,true,6731,0
slave,54.960278,8.293611,Sylt-W,0,0,0,true,6731,0.011
slave,49.150000,-1.503333,Lessay-X,0,0,0,true,6731,0.026
slave,61.296389,4.743611,Vaerland-Y,0,0,0,true,6731,0.039
receiver,53.500000,3.000000,NorthSea-Rx,0,0,0,false,6731,0
